Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
ODI,New Zealand,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,New Zealand,246,6,188,9
ODI,England,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Australia,213,5,217,5
ODI,England,Australia,Sydney Cricket Ground,Australia,England,bat,England,207,10,109,10
ODI,England,New Zealand,Adelaide Oval,Australia,England,bat,New Zealand,296,5,297,6
ODI,England,Australia,Adelaide Oval,Australia,England,bat,England,228,6,214,7
ODI,New Zealand,Australia,Adelaide Oval,Australia,New Zealand,bat,New Zealand,200,9,153,10
ODI,England,New Zealand,Western Australia Cricket Association Ground,Australia,New Zealand,bowl,New Zealand,88,7,89,3
ODI,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,New Zealand,bowl,Australia,191,9,164,10
ODI,New Zealand,Australia,Sydney Cricket Ground,Australia,New Zealand,bat,Australia,193,7,155,4
ODI,Australia,New Zealand,Melbourne Cricket Ground,Australia,Australia,bat,Australia,302,8,153,10
ODI,England,New Zealand,Eden Park,New Zealand,England,bat,New Zealand,184,9,187,4
ODI,New Zealand,England,Basin Reserve,New Zealand,England,bowl,New Zealand,295,6,192,10
ODI,New Zealand,England,Lancaster Park,New Zealand,New Zealand,bat,New Zealand,211,8,127,10
ODI,New Zealand,Sri Lanka,Carisbrook,New Zealand,Sri Lanka,bowl,New Zealand,183,8,118,9
ODI,West Indies,India,Queen's Park Oval,West Indies,India,bowl,West Indies,215,4,163,7
ODI,New Zealand,Australia,Sydney Cricket Ground,Australia,Australia,bowl,New Zealand,138,8,124,10
ODI,Sri Lanka,New Zealand,McLean Park,New Zealand,New Zealand,bowl,New Zealand,167,8,168,3
ODI,New Zealand,Sri Lanka,Eden Park,New Zealand,New Zealand,bat,New Zealand,304,5,188,6
ODI,India,West Indies,Albion Sports Complex,West Indies,West Indies,bowl,India,282,5,255,9
ODI,India,West Indies,Queen's Park (Old),West Indies,West Indies,bowl,West Indies,166,10,167,3
ODI,Australia,Sri Lanka,P Saravanamuttu Stadium,Sri Lanka,Australia,bat,Sri Lanka,168,9,169,8
ODI,Australia,Sri Lanka,P Saravanamuttu Stadium,Sri Lanka,Sri Lanka,bowl,Sri Lanka,207,5,213,6
ODI,Australia,Sri Lanka,Sinhalese Sports Club Ground,Sri Lanka,Sri Lanka,bowl,0,194,5,0,0
ODI,Australia,Sri Lanka,Sinhalese Sports Club Ground,Sri Lanka,Australia,bat,0,124,3,0,0
ODI,England,New Zealand,Kennington Oval,England,England,bat,England,322,6,216,10
ODI,Pakistan,Sri Lanka,St Helen's,England,Sri Lanka,bowl,Pakistan,338,5,288,9
ODI,Zimbabwe,Australia,Trent Bridge,England,Australia,bowl,Zimbabwe,239,6,226,7
ODI,India,West Indies,Old Trafford,England,West Indies,bowl,India,262,8,228,10
ODI,England,Sri Lanka,County Ground,England,England,bat,England,333,9,286,10
ODI,New Zealand,Pakistan,Edgbaston,England,Pakistan,bowl,New Zealand,238,9,186,10
ODI,West Indies,Australia,Headingley,England,Australia,bowl,West Indies,252,9,151,9
ODI,Zimbabwe,India,Grace Road,England,India,bowl,India,155,10,157,5
ODI,Pakistan,England,Lord's,England,Pakistan,bat,England,193,8,199,2
ODI,Sri Lanka,New Zealand,Phoenix County Ground,England,New Zealand,bowl,New Zealand,206,10,209,5
ODI,Australia,India,Trent Bridge,England,Australia,bat,Australia,320,9,158,10
ODI,Zimbabwe,West Indies,County Ground,England,West Indies,bowl,West Indies,217,7,218,2
ODI,England,New Zealand,Edgbaston,England,England,bat,New Zealand,234,10,238,8
ODI,West Indies,India,Kennington Oval,England,West Indies,bat,West Indies,282,9,216,9
ODI,Pakistan,Sri Lanka,Headingley,England,Sri Lanka,bowl,Pakistan,235,7,224,10
ODI,Australia,Zimbabwe,County Ground,England,Australia,bat,Australia,272,7,240,10
ODI,Pakistan,England,Old Trafford,England,Pakistan,bat,England,232,8,233,3
ODI,New Zealand,Sri Lanka,County Ground,England,Sri Lanka,bowl,Sri Lanka,181,10,184,7
ODI,Australia,West Indies,Lord's,England,Australia,bat,West Indies,273,6,276,3
ODI,India,Zimbabwe,Nevill Ground,England,India,bat,India,266,8,235,10
ODI,Sri Lanka,England,Headingley,England,England,bowl,England,136,10,137,1
ODI,India,Australia,County Ground,England,India,bat,India,247,10,129,10
ODI,Zimbabwe,West Indies,Edgbaston,England,Zimbabwe,bat,West Indies,171,10,172,0
ODI,England,India,Old Trafford,England,England,bat,India,213,10,217,4
ODI,Pakistan,West Indies,Kennington Oval,England,West Indies,bowl,West Indies,184,8,188,2
